id,task_id,model_name,task_category,SDS_used,TCR_used,SCR_used,RD_used,E_score,SDS_source,TCR_source,SCR_source,RD_source,conv_time_sec,active_time_sec,avg_turn_time,active_ratio,total_input_tokens,total_output_tokens,total_tokens,tool_calls_dataset,tool_failures_dataset,failure_rate_dataset
236,40,DeepSeek-V3.1-Terminus,data_analysis,0.183,0.458,0.048,0.0,0.006024691358024692,SDS_w,TCR,SCR_w,RD_w,977.078,804.32,22.342,0.823,105707,583,106290,19,3,15.8
239,40,Claude-Sonnet-4,data_analysis,0.089,0.644,0.012,0.0,0.0006496350364963503,SDS_w,TCR,SCR_w,RD_w,1604.366,1224.109,68.006,0.763,57640,1169,58809,14,1,7.1
242,41,DeepSeek-V3.1-Terminus,data_analysis,0.1,0.421,0.085,0.007,0.0064743138634764255,SDS_w,TCR,SCR_w,RD_w,914.849,726.518,15.794,0.794,298025,728,298753,24,2,8.3
245,41,Claude-Sonnet-4,data_analysis,0.081,0.678,0.061,0.0,0.0029445768772348034,SDS_w,TCR,SCR_w,RD_w,582.67,198.389,11.67,0.34,40938,344,41282,16,3,18.8
248,42,DeepSeek-V3.1-Terminus,data_analysis,0.077,0.595,0.038,0.0,0.0018344827586206896,SDS_w,TCR,SCR_w,RD_w,1013.747,784.689,15.386,0.774,343798,1063,344861,26,5,19.2
251,42,Claude-Sonnet-4,data_analysis,0.139,0.613,0.064,0.0,0.005515189088654682,SDS_w,TCR,SCR_w,RD_w,1689.389,827.298,25.853,0.49,212207,889,213096,29,7,24.1
254,43,DeepSeek-V3.1-Terminus,data_analysis,0.097,0.337,0.039,0.0,0.0028294689603590127,SDS_w,TCR,SCR_w,RD_w,1086.028,849.181,14.153,0.782,270854,696,271550,32,3,9.4
257,43,Claude-Sonnet-4,data_analysis,0.052,0.586,0.019,0.0,0.0006229508196721312,SDS_w,TCR,SCR_w,RD_w,1967.025,1328.814,40.267,0.676,133209,281,133490,31,4,12.9
260,44,DeepSeek-V3.1-Terminus,data_analysis,0.145,0.544,0.079,0.0,0.0074190414507772015,SDS_w,TCR,SCR_w,RD_w,1897.172,1300.073,13.266,0.685,1402911,1741,1404652,55,6,10.9
263,44,Claude-Sonnet-4,data_analysis,0.185,0.661,0.076,0.0,0.008464780252859723,SDS_w,TCR,SCR_w,RD_w,506.785,162.964,9.054,0.322,61253,318,61571,18,4,22.2
